instance_name	LB	OPT
class2_60_10_2	13	14
class2_60_10_3	14	14
class2_60_10_4	14	14
class2_60_10_5	14	14
class2_60_10_6	13	14
class2_60_10_7	14	14
class2_60_10_8	14	14
class2_60_10_9	14	14
class2_120_10_0	26	27
class2_120_10_1	26	-1
class2_120_10_2	27	28
class2_120_10_3	28	-1
class2_120_10_4	26	-1
class2_120_10_5	27	-1
class2_120_10_6	27	-1
class2_120_10_7	27	-1
class2_120_10_8	26	-1
class2_120_10_9	27	-1
class2_250_10_0	54	-1
class2_250_10_1	54	-1
class2_250_10_2	54	-1
class2_250_10_3	55	-1
class2_250_10_4	54	-1
class2_250_10_5	53	-1
class2_250_10_6	56	-1
class2_250_10_7	55	-1
class2_250_10_8	53	-1
class2_250_10_9	54	-1
class2_500_10_0	107	-1
class2_500_10_1	106	-1
class2_500_10_2	109	-1
class2_500_10_3	107	-1
class2_500_10_4	106	-1
class2_500_10_5	106	-1
class2_500_10_6	104	-1
class2_500_10_7	106	-1
class2_500_10_8	107	-1
class2_500_10_9	106	-1
class3_20_3_0	7	7
class3_20_3_1	7	8
class3_20_3_2	7	7
class3_20_3_3	8	8
class3_20_3_4	7	7
class3_20_3_5	7	7
class3_20_3_6	7	7
class3_20_3_7	7	7
class3_20_3_8	7	7
class3_20_3_9	8	8
class3_40_3_0	15	15
class3_40_3_1	13	13
class3_40_3_2	14	14
class3_40_3_3	14	14
class3_40_3_4	13	13
class3_40_3_5	13	13
class3_40_3_6	14	14
class3_40_3_7	14	14
class3_40_3_8	14	14
class3_40_3_9	14	15
class3_60_3_0	23	23
class3_60_3_1	20	20
class3_60_3_2	21	21
class3_60_3_3	19	19
class3_60_3_4	20	20
class3_60_3_5	17	18
class3_60_3_6	20	20
class3_60_3_7	20	20
class3_60_3_8	20	20
class3_60_3_9	21	21
class3_120_3_0	37	38
class3_120_3_1	39	39
class3_120_3_2	38	39
class3_120_3_3	38	38
class3_120_3_4	39	39
class3_120_3_5	38	38
class3_120_3_6	40	40
class3_120_3_7	38	38
class3_120_3_8	40	40
class3_120_3_9	38	39
class3_250_3_0	78	78
class3_250_3_1	78	78
class3_250_3_2	81	81
class3_250_3_3	78	78
class3_250_3_4	79	79
class3_250_3_5	78	-1
class3_250_3_6	79	79
class3_250_3_7	80	80
class3_250_3_8	80	80
class3_250_3_9	78	78
class3_500_3_0	154	-1
class3_500_3_1	156	-1
class3_500_3_2	158	-1
class3_500_3_3	155	-1
class3_500_3_4	159	-1
class3_500_3_5	155	-1
class3_500_3_6	155	-1
class3_500_3_7	153	-1
class3_500_3_8	158	-1
class3_500_3_9	155	-1
class3_20_5_0	8	9
class3_20_5_1	7	8
class3_20_5_2	8	8
class3_20_5_3	8	8
class3_20_5_4	8	8
class3_20_5_5	8	8
class3_20_5_6	8	8
class3_20_5_7	7	7
class3_20_5_8	7	8
class3_20_5_9	7	8
class3_40_5_0	14	14
class3_40_5_1	13	15
class3_40_5_2	14	15
class3_40_5_3	16	16
class3_40_5_4	13	14
class3_40_5_5	14	14
class3_40_5_6	14	14
class3_40_5_7	14	14
class3_40_5_8	15	16
class3_40_5_9	13	15
class3_60_5_0	21	21
class3_60_5_1	20	21
class3_60_5_2	20	21
class3_60_5_3	19	20
class3_60_5_4	20	21
class3_60_5_5	19	21
class3_60_5_6	22	22
class3_60_5_7	20	22
class3_60_5_8	20	21
class3_60_5_9	21	22
class3_120_5_0	40	42
class3_120_5_1	41	42
class3_120_5_2	41	42
class3_120_5_3	38	40
class3_120_5_4	41	41
class3_120_5_5	38	40
class3_120_5_6	39	40
class3_120_5_7	39	40
class3_120_5_8	38	39
class3_120_5_9	41	41
class3_250_5_0	81	83
class3_250_5_1	80	81
class3_250_5_2	81	84
class3_250_5_3	77	80
class3_250_5_4	79	82
class3_250_5_5	79	81
class3_250_5_6	82	82
class3_250_5_7	83	-1
class3_250_5_8	84	85
class3_250_5_9	78	80
class3_500_5_0	156	-1
class3_500_5_1	158	-1
class3_500_5_2	158	-1
class3_500_5_3	156	-1
class3_500_5_4	158	-1
class3_500_5_5	157	-1
class3_500_5_6	157	-1
class3_500_5_7	156	-1
class3_500_5_8	160	-1
class3_500_5_9	157	-1
class3_20_10_0	7	10
class3_20_10_1	8	10
