instance_name	LB	OPT	best_overall	best_IC	best_BC	best_MB-Pairing	best_MB-WFD
class1_500_5_0	129	-1	177	177	177	177	179
class1_500_5_1	129	-1	180	182	180	180	183
class1_500_5_2	128	-1	172	174	172	172	176
class1_500_5_3	128	-1	174	176	174	174	177
class1_500_5_4	128	-1	170	174	170	170	174
class1_500_5_5	129	-1	173	175	173	175	175
class1_500_5_6	129	-1	176	177	176	177	179
class1_500_5_7	125	-1	169	172	170	169	174
class1_500_5_8	129	-1	174	177	174	175	177
class1_500_5_9	127	-1	171	174	171	171	174
class1_20_10_0	9	10	10	10	10	11	10
class1_20_10_1	5	7	7	7	7	7	7
class1_20_10_2	5	8	8	8	8	8	8
class1_20_10_3	6	8	8	8	9	9	8
class1_20_10_4	6	8	9	9	9	9	9
class1_20_10_5	9	10	10	10	10	10	10
class1_20_10_6	7	9	9	9	9	9	9
class1_20_10_7	8	9	9	9	9	9	9
class1_20_10_8	8	8	8	8	8	8	9
class1_20_10_9	6	8	8	8	8	9	8
class1_40_10_0	14	16	17	17	17	17	17
class1_40_10_1	8	12	13	13	13	13	14
class1_40_10_2	13	16	16	16	16	17	17
class1_40_10_3	10	14	15	15	15	15	15
class1_40_10_4	16	18	18	18	18	19	18
class1_40_10_5	14	18	19	19	19	19	19
class1_40_10_6	12	15	16	16	17	17	17
class1_40_10_7	12	15	16	16	16	16	16
class1_40_10_8	13	15	16	16	16	16	16
class1_40_10_9	13	16	16	16	17	17	17
class1_60_10_0	13	19	21	21	22	21	22
class1_60_10_1	16	20	22	22	22	23	23
class1_60_10_2	17	21	23	23	23	23	23
class1_60_10_3	13	19	21	21	21	21	21
class1_60_10_4	13	18	19	20	19	20	20
class1_60_10_5	13	20	22	22	22	22	22
class1_60_10_6	13	19	21	22	21	22	22
class1_60_10_7	12	19	21	21	21	21	21
class1_60_10_8	13	20	22	22	22	22	22
class1_60_10_9	16	21	22	22	22	22	22
class1_120_10_0	24	36	40	41	40	40	42
class1_120_10_1	25	35	39	40	39	40	40
class1_120_10_2	25	36	41	42	41	42	42
class1_120_10_3	27	37	41	41	42	42	43
class1_120_10_4	24	35	39	40	39	39	40
class1_120_10_5	25	35	40	41	40	40	42
class1_120_10_6	25	35	41	41	41	41	41
class1_120_10_7	25	34	39	40	39	39	40
class1_120_10_8	26	37	41	41	42	42	43
class1_120_10_9	27	38	43	43	43	43	43
class1_250_10_0	50	70	80	83	80	82	84
class1_250_10_1	50	-1	77	80	77	78	81
class1_250_10_2	49	-1	82	83	82	82	83
class1_250_10_3	49	-1	78	80	78	78	82
class1_250_10_4	50	71	83	84	83	83	84
class1_250_10_5	49	-1	79	80	79	79	80
class1_250_10_6	49	-1	80	83	80	82	85
class1_250_10_7	50	-1	82	85	82	82	85
class1_250_10_8	50	-1	82	84	82	82	86
class1_250_10_9	49	-1	82	84	82	82	85
class1_500_10_0	96	-1	144	150	144	144	151
class1_500_10_1	95	-1	153	157	153	153	157
class1_500_10_2	97	-1	152	157	152	152	157
class1_500_10_3	96	-1	147	153	148	147	153
class1_500_10_4	97	-1	156	160	156	156	161
class1_500_10_5	97	-1	147	152	147	147	153
class1_500_10_6	96	-1	149	155	149	149	156
class1_500_10_7	96	-1	148	154	148	150	155
class1_500_10_8	97	-1	151	154	151	151	154
class1_500_10_9	97	-1	147	154	147	148	156
class2_20_3_0	5	5	5	5	5	5	5
class2_20_3_1	5	5	5	5	5	5	5
class2_20_3_2	5	5	5	5	5	5	5
class2_20_3_3	5	5	5	5	5	5	5
class2_20_3_4	5	5	5	5	5	5	5
class2_20_3_5	5	5	5	5	5	5	5
class2_20_3_6	5	5	5	5	5	5	5
class2_20_3_7	5	5	5	5	5	5	5
class2_20_3_8	5	5	6	6	6	6	6
class2_20_3_9	5	5	5	5	5	5	5
class2_40_3_0	9	9	10	10	10	10	10
class2_40_3_1	9	9	9	9	9	9	9
class2_40_3_2	9	9	10	10	10	10	10
class2_40_3_3	8	8	8	9	9	8	9
class2_40_3_4	9	9	10	10	10	10	10
class2_40_3_5	9	9	9	9	9	10	9
class2_40_3_6	9	9	10	10	10	10	10
class2_40_3_7	9	9	9	9	9	9	9
class2_40_3_8	9	9	9	9	9	10	9
class2_40_3_9	9	9	10	10	10	10	10
class2_60_3_0	13	13	14	14	14	14	15
class2_60_3_1	13	13	13	13	13	14	14
class2_60_3_2	13	13	14	14	14	14	15
class2_60_3_3	14	14	14	14	14	14	15
class2_60_3_4	14	14	14	14	14	14	15
class2_60_3_5	14	14	14	14	14	14	14
class2_60_3_6	14	14	15	15	15	15	15
class2_60_3_7	14	14	14	14	14	14	14
class2_60_3_8	13	13	13	14	13	14	14
class2_60_3_9	13	13	13	13	13	13	14
class2_120_3_0	26	-1	27	27	27	27	27
class2_120_3_1	26	26	27	27	27	27	27
class2_120_3_2	26	26	27	27	27	27	27
class2_120_3_3	27	27	28	29	28	28	29
class2_120_3_4	26	-1	26	27	26	27	27
class2_120_3_5	27	27	28	28	28	28	28
class2_120_3_6	25	-1	26	26	26	26	26
class2_120_3_7	27	27	28	28	28	28	29
class2_120_3_8	26	26	28	28	28	28	28
class2_120_3_9	26	26	27	28	27	28	28
class2_250_3_0	52	-1	54	56	54	54	56
class2_250_3_1	53	-1	55	56	55	56	56
class2_250_3_2	52	-1	53	54	53	53	55
class2_250_3_3	54	-1	56	57	56	56	58
class2_250_3_4	53	-1	55	56	55	55	56
class2_250_3_5	52	-1	54	55	54	54	55
class2_250_3_6	52	-1	54	55	54	55	56
class2_250_3_7	54	-1	55	56	55	56	56
class2_250_3_8	51	-1	53	54	53	53	54
class2_250_3_9	53	-1	54	55	54	54	55
class2_500_3_0	104	-1	107	109	107	108	111
